no	review	sentiment
1	bosen singgah pagi siang sore malam ramai keliling jalan lingkar bundar ramai kendara jarang alun alun bundar keliling gedung dpr kantor balaikota hotel tugu sekolah favorit destinasi wisata kuliner hehe	positive
2	sedia parkir luas resto tata apik rapi pandang indah sedia agam menu nusantara es campur segarr angsle porsi relatif cocok potret suasana santai	positive
3	kamar bersih luas staf ramah lokasi guesthouse kota strategis sarap variasi biasa aja harga yg pesan booking com lebih murah tidak sarap lebih langsung booking guesthousenya	positive
4	malang menajubkan lihat kampung warna wrni ni bagus biasa unik masuk hnya	positive
5	masjid bersih kota malang letak berangan alun alun kota	positive
6	minggu senang giat inap harris malang kamar nyaman bersih rapi sarap enak senang menu makan siang malam variatif lezat lokasi pusat kota malang serta giat keluyur	positive
7	pergi libur keluarga objek wisata tsunami memmorable taman bagus my dougther suka	positive
8	malang town square matos konsep paruh mall paruh itc toko toko baju itc tenant mall matahari departemen store groceries shopping hypermart inap hotel bahan malang town square tidak sulit cari makan restaurantnya yoshinoya pizza hut foodcourt pilih makan matos lengkap sedia salon apotik	positive
9	museum bentoel museum diri kenang jalan pabrik rokok bentoel malang legenda diri lokasi rumah diri rokok bentoel ong hok liong jalan wiromargo konsep museum pamer barang barang peninggalang mendiang ong hok liong keluarga usaha alih tangan bat museum rombak ubah konsep lebih modern pajang sejarah bentoel museum bnetoel lengkap wahana elektonik interaktif muat sejarah bat kembang industri rokok	positive
10	pasar burung bunga lebih kenal nama pasar splendit letak kota malang letak tidak balaikota tepat jalan majapahit jalan tumapel jalan brawijaya bagi area pasar bunga pasar burung pasar ikan pasar dagang hewan hewan pelihara anjing kucing ayam hutan kera kura kura ular hamster kelinci iguana tokek hewan hewan jual tidak harga pas alias tawar	positive
11	bagus foto pasar hewan stasiun kereta api malang depan bangun kantor walikota malang tempat asri sejuk	positive
12	masjid jam alun alun pusat kota malang kawasan kayu tangan lebih tepat jalan merdeka barat no malang jawa timur masjid salah masjid tua jawa timur masjid ampel surabaya masjid jam pasuruan bangun masjid jam malang alami kali luas sebab ubah bentuk masjid masjid jam malang nampak jaga tiang dalam tiang masjid jam malang buah simbol simbol sifat wajib allah tiang simbol sifat nabi muhammad soo ibadah masjid simbol kota malang	positive
13	jalan majapahit letak alun alun kota malang taman rekreasi kota biasa tarekot bilang taman rekreasi satwa aneka burung kolam renang tutup lumayan sih dar jalan jalan pusat kota malang	positive
14	malang sejuk kunjungin lokasi balai kota pohon nyaman photo okay bangunananya khas belanda	positive
15	indah sejuk nyaman enak lihat rame pokok nya indah banget aja gk pulang alun alun kota malang masjid nya gede pokok biasa dech lofyu alun alun malang	positive
16	masjid agung jam letak pusat kota malang letak damping alun alun kota malang gereja arsitektur masjid indah saji wisata sendiri unjung	positive
17	hotel bintang malang coba hotel cocot long stay lebih kali long stay hotel check in layan ramah layan hotel ruang bersih titik kamar mandi karat breakfast bandingklan hotel malang santika menu pilihanya taste enak	positive
18	masjid jam kota malang diri ramai pusat belanja kota malang bahan gereja kota malang hadap masjid alun alun kota malang biasa unjung alun alun kota malang laksana ibadah shalat masjid masjid besar kota malang megah nyaman dalam sirkulasi udara bagus tidak asa pengap orang malang air dingin ambil air wudhu toilet unjung lewat genang air sejuk masjid lantai wudhu laki laki belah kiri bangun jamaah wanita sisi shalat jumat jalan mesjid tutup pakir kendara motor jalan pasar padat laksana ibadah shalat jumat	positive
19	tempat asyik nyaman bersih letak dalam rumah araya view bagus foto keluarga beda resto laen makan minum pilih	positive
20	mewah elegant pandang malam nya enak mesjid sejuk bawa damai jaga bersih mesjid	positive
21	masuk kesan hommy banget suka suasana hotel yg sejuk tp bersih utk kamar tingkat lantai pelihara barang kamar bedcover guling orange tulis harris yg uda lusuh banget tp utk fasilitas kolam renang ok banget anak happy	positive
22	november rekan fasilitas lumayan oke nyaman tempat bersih taman kolam renang tarik anak anak makan pilih jg yg enak sesuai selera kamar nyaman view kolam renang dn halaman parkir lumayan luas tp event pintar pilih	positive
23	inap kamar standar malam senang lokasi strategis mudah capai angkut letak kawasan ijen kawasan huni rumah rumah kuno gaya kolonial minggu kawasan ijen kawasan car free day aktifitas jogging senam pagi dar jalan jalan hirup udara segar sedia aneka jual makan camil fasilitas kamar lengkap bersih aman staff ramah sahabat bantu perlu tamu menu sarap tidak enak muas cocok wisatawan keluarga harga jangkau	positive
24	aman asik kenal anak lestari tanam sains lampu nyala mati ajar yg relistis takut kasat mata hantu anak milik daya imajinasi mati hidup lampu ayo coba kesini	positive
25	balai kota malang letak m stasiun kota malang kantor wali kota malang nuansa sejarah arsitektur tarik balai kota malang tidak buka wisatawan asing abadi bangun foto kenang	positive
26	bersih karpet tebal ramai alun aun kota malang cocok pergi keluarga	positive
27	malang jaman ulas tinggal kota malang susun rapi cerita jaman diri nya kota malang ticket masuk murah cocok malang salam trip trip	positive
28	tsunami seruuu hawa waterpark malang ga kalah ama waterboom bal lhoo sayang kalo d bal jalan wahana n ga perlu sewa ban kalo d hawa waterpark perlu sewa ban kalo bawa rombong ganti pake ban	positive
29	kunjung singkat lumayan enak tempat bersih nyaman kamar liat tembok nya cat receptionis nya rangkap operator sibuk layan tamu	positive
30	masjid agung jam merupak ibadah umat islam lokasi dekat gereja zaman belanda bentuk bangun masjid unik alun alun kota malang suasana malam masjid rang lampu tambah cantik masjid alun alun kota	positive
31	taman ruang publik rumah jalan ijen letak mudah akses penjuru fasilitas main lengkap arena futsal arena anak anak tempat rindang dlengkapi duduk nongkrong sedia kran air minum gratis	positive
